travel_time,id,kind,action,origin,destination,start_time,observation,reward,cost_table
4.783333333333333,41,AV,4,37,29,396,"2.8270137310028076,2.8456919193267822,2.7294135093688965,2.74809193611145,2.8350489139556885,2.8163704872131348,3.047232151031494,3.0659103393554688,37.0,29.0,396.0",-4.783333333333333,"0,0,0,0,0,0,0,0"
2.966666666666667,31,AV,1,27,6,452,"1.9131219387054443,2.0960474014282227,1.9354641437530518,1.9813364744186401,1.9970792531967163,2.054926633834839,2.0042545795440674,1.9136018753051758,27.0,6.0,452.0",-2.966666666666667,"0,0,0,0,0,0,0,0"
2.933333333333333,255,AV,5,93,57,1673,"1.8206480741500854,2.710988998413086,3.367729663848877,4.555070877075195,4.7379961013793945,2.003573417663574,1.8208880424499512,4.344439506530762,93.0,57.0,1673.0",-2.933333333333333,"0,0,0,0,0,0,0,0"
1.9166666666666667,206,AV,2,145,95,367,"1.0227713584899902,1.052145004272461,1.0414679050445557,1.0752220153808594,1.0545992851257324,1.030510663986206,1.0476335287094116,1.024841547012329,145.0,95.0,367.0",-1.9166666666666667,"0,0,0,0,0,0,0,0"
2.8,20,AV,0,15,15,614,"1.5035107135772705,3.0505924224853516,4.420858860015869,2.3938515186309814,1.5037506818771362,2.9561209678649902,1.503990650177002,4.2102274894714355,15.0,15.0,614.0",-2.8,"0,0,0,0,0,0,0,0"
2.3333333333333335,159,AV,3,115,57,456,"0.9228869080543518,0.9532575011253357,1.1032819747924805,1.0979024171829224,1.1326556205749512,0.9537374377250671,0.9458890557289124,1.1302099227905273,115.0,57.0,456.0",-2.3333333333333335,"0,0,0,0,0,0,0,0"
2.4833333333333334,249,AV,4,170,137,1797,"1.2732309103012085,1.3590476512908936,1.2965872287750244,1.2831541299819946,1.329512596130371,1.3689708709716797,1.44443941116333,1.306510329246521,170.0,137.0,1797.0",-2.4833333333333334,"0,0,0,0,0,0,0,0"
1.15,132,AV,0,3,78,974,"0.6578713655471802,0.6633429527282715,0.620956301689148,0.6211963295936584,0.9175245761871338,1.078965663909912,0.6264278888702393,0.5888708829879761,3.0,78.0,974.0",-1.15,"0,0,0,0,0,0,0,0"
1.8,492,AV,6,193,2,1226,"0.48282936215400696,0.5763859152793884,3.268676519393921,0.8801955580711365,2.4429385662078857,3.0930285453796387,0.9218502640724182,2.045572280883789,193.0,2.0,1226.0",-1.8,"0,0,0,0,0,0,0,0"
4.5,120,AV,0,92,79,1081,"2.6930925846099854,3.0823354721069336,2.786648988723755,3.132113456726074,2.7537717819213867,3.4387271404266357,3.9785377979278564,4.305529594421387,92.0,79.0,1081.0",-4.5,"0,0,0,0,0,0,0,0"
3.6333333333333333,230,AV,7,158,129,518,"1.4561959505081177,1.4508163928985596,1.3061714172363281,1.2758009433746338,1.483124017715454,1.2988030910491943,1.4855695962905884,1.451296329498291,158.0,129.0,518.0",-3.6333333333333333,"0,0,0,0,0,0,0,0"
7.916666666666667,486,AV,1,28,147,34,"4.761353969573975,4.87097692489624,4.871025085449219,4.778536319732666,4.885136127471924,4.784512042999268,3.6684272289276123,4.815109729766846,28.0,147.0,34.0",-7.916666666666667,"0,0,0,0,0,0,0,0"
2.05,368,AV,7,58,181,118,"0.6917724013328552,0.6922523975372314,0.7757297158241272,0.8588795065879822,0.8107069134712219,0.8335770964622498,1.0688986778259277,0.927094042301178,58.0,181.0,118.0",-2.05,"0,0,0,0,0,0,0,0"
3.816666666666667,136,AV,0,102,57,371,"2.3010897636413574,4.093200206756592,2.7023496627807617,2.3269715309143066,2.4840149879455566,4.093680381774902,3.05290150642395,2.3013296127319336,102.0,57.0,371.0",-3.816666666666667,"0,0,0,0,0,0,0,0"
1.1833333333333333,404,AV,4,240,60,802,"0.6530597805976868,0.9957643151283264,0.7095992565155029,0.7192944288253784,0.689680814743042,1.0253779888153076,1.0330333709716797,0.7462202906608582,240.0,60.0,802.0",-1.1833333333333333,"0,0,0,0,0,0,0,0"
2.05,195,AV,7,97,74,1084,"0.676697850227356,0.9732661247253418,0.6844372153282166,1.0145188570022583,0.8647947907447815,0.9810054898262024,0.9459922909736633,1.0817134380340576,97.0,74.0,1084.0",-2.05,"0,0,0,0,0,0,0,0"
4.183333333333334,88,AV,4,72,64,545,"0.8407910466194153,0.8909485936164856,2.691951274871826,1.2317557334899902,1.9873557090759277,2.8973147869110107,2.506350040435791,2.947472333908081,72.0,64.0,545.0",-4.183333333333334,"0,0,0,0,0,0,0,0"
4.983333333333333,323,AV,0,85,165,688,"3.0017714500427246,2.89214825630188,3.0081429481506348,3.1177661418914795,2.935680627822876,3.028205394744873,3.131948947906494,2.9858126640319824,85.0,165.0,688.0",-4.983333333333333,"0,0,0,0,0,0,0,0"
4.366666666666666,324,AV,4,208,166,1323,"2.7294631004333496,2.8009653091430664,3.1643528938293457,2.76567006111145,3.13786244392395,3.389254331588745,3.0161681175231934,3.1644608974456787,208.0,166.0,1323.0",-4.366666666666666,"0,0,0,0,0,0,0,0"
1.9833333333333334,512,AV,0,282,152,1042,"1.3674451112747192,1.6625854969024658,1.4184050559997559,1.4004664421081543,1.5035022497177124,1.8263963460922241,1.4428471326828003,1.3781722784042358,282.0,152.0,1042.0",-1.9833333333333334,"0,0,0,0,0,0,0,0"
3.3333333333333335,398,AV,7,239,174,592,"1.0490890741348267,1.1560125350952148,1.1981772184371948,1.970543384552002,2.0905098915100098,1.2660917043685913,2.044433355331421,2.0774667263031006,239.0,174.0,592.0",-3.3333333333333335,"0,0,0,0,0,0,0,0"
