id,origin,destination,start_time,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y
5,5,4,1037,Human,-153730016#1,-394443151#2,4398.34,2207.95,3249.2,1483.56
6,6,5,43,Human,-859784039#0,-1119245060#0,4354.56,3187.94,4071.46,3446.76
8,8,7,1630,Human,1119245067,-36293459#7,4203.72,2952.09,3939.74,3470.65
9,9,8,1688,Human,1239117013#2,-165171783#1,3751.5,1890.18,3548.82,1310.1
10,10,2,142,Human,918716574#2,-156460683#5,3741.68,2928.73,3501.02,3995.22
13,13,10,1617,Human,-36950506#3,187827276,4627.4,2662.56,3101.9,3184.81
16,6,12,399,Human,-859784039#0,36936373#3,4354.56,3187.94,3899.86,2469.32
20,15,15,614,Human,-319058611,1239117012#2,4593.63,2654.61,3775.18,1918.55
23,21,18,492,Human,36936396#2,319058644,4104.91,2765.61,4321.64,2344.8
31,27,6,452,Human,-698026762,319058646#1,4914.63,2707.01,3690.37,1172.16
32,28,23,220,Human,-156460683#0,1119245060#2,3402.48,4301.31,4141.22,3411.37
37,33,27,1161,Human,-319779153,-36293459#8,4084.39,1983.65,3965.27,3464.79
38,34,28,1238,Human,-165170818#5,-37052277#3,3515.73,884.56,4030.33,3202.05
39,35,2,188,Human,-36293459#6,-156460683#5,3934.97,3472.18,3501.02,3995.22
41,37,29,396,Human,-243836884#1,36936327,3369.88,1267.91,3608.17,2609.61
42,38,22,1729,Human,39820659#3,36950506#0,4519.49,2510.63,4828.98,2712.21
52,46,36,846,Human,-36950439#0,-153730020#0,4465.26,2981.3,3966.29,1830.89
54,24,38,131,Human,-153730015#3,218916675,4374.92,1827.81,3251.57,2917.13
57,43,41,736,Human,-394456356#1,-157555050#0,4372.51,3216.85,4494.14,2880.53
58,40,42,1336,Human,-157555050#0,37050033#0,4393.79,2874.05,4120.11,2933.12
61,50,44,682,Human,-1239117016#2,-36293752#5,4903.66,2701.44,3924.4,3580.73
63,52,46,640,Human,-36933151#0,-394443146,3547.29,2149.14,3541.6,886.41
65,54,3,786,Human,165170685#0,-153730010#2,3533.55,1093.43,4571.17,2348.21
69,58,50,133,Human,-153730010#2,-394456402#1,4532.39,2399.14,3335.39,4167.92
70,59,51,895,Human,37088258#0,319058643#0,4287.62,2956.09,2556.1,2881.37
75,63,52,1410,Human,187827272,36935232,3128.08,3122.69,4007.34,2632.4
80,65,59,1538,Human,-165172642#0,-1119245061,3719.07,1475.13,4157.33,3406.51
81,66,60,278,Human,-153730008#2,-165172642#0,4268.59,1937.85,3705.59,1526.3
87,71,48,551,Human,-37055902#2,-36950506#2,4182.61,3242.53,4700.18,2679.41
88,72,64,545,Human,36950506#0,39820659#0,4869.97,2719.55,4314.13,2424.18
89,73,2,1520,Human,-1339510609#0,-156460683#5,4495.01,2614.76,3501.02,3995.22
92,76,12,1624,Human,36935232,36936373#3,4052.0,2739.71,3899.86,2469.32
93,70,66,1298,Human,270968317#0,-165171782,3950.91,2852.63,3420.67,1164.81
106,82,58,1454,Human,610135147#1,36950518#0,4435.44,1332.57,4316.43,3044.17
109,84,63,450,Human,48955997,-36289599#0,4182.54,2774.98,4268.62,2629.65
113,85,74,1398,Human,697624157#1,37050033#1,2898.56,3028.21,4141.15,2942.78
119,91,78,240,Human,37054132,-37054066,3357.53,3830.86,3769.23,3560.98
120,92,79,1081,Human,-697704135,-1119245057#2,3315.24,3908.59,4127.53,3603.44
121,93,80,721,Human,39820659#0,269702561#1,4313.94,2424.12,4015.63,2810.18
123,95,82,176,Human,153730020#1,1239117012#1,4083.8,1895.32,3831.36,1955.83
126,43,85,78,Human,-394456356#1,-319779150#2,4372.51,3216.85,3965.38,1960.39
129,99,87,354,Human,48955996,-153730015#1,4140.51,2840.61,4343.63,2207.42
130,100,4,909,Human,-36950518#1,-394443151#2,4325.56,3088.11,3249.2,1483.56
132,3,78,974,Human,-1119245057#1,-37054066,4123.04,3588.62,3769.23,3560.98
134,94,89,268,Human,-156460683#5,-36294383#6,3506.04,3889.74,4275.12,3531.19
136,102,57,371,Human,-36294383#4,-650145324#1,4283.16,3479.08,3827.79,2130.02
137,103,69,1800,Human,-36293752#1,37050051,3898.74,3515.09,4215.06,2952.07
140,105,90,871,Human,-394443146,39820659#1,3577.1,969.88,4413.61,2454.28
144,107,92,1526,Human,-36934835#1,-36294383#8,3579.39,2720.93,4234.09,3863.96
147,94,93,1443,Human,-156460683#5,-37088332#3,3506.04,3889.74,4313.44,2757.08
148,49,83,1629,Human,-36293752#5,-37052277#2,3937.76,3614.93,4040.07,3269.98
149,8,37,694,Human,1119245067,-36950439#0,4203.72,2952.09,4300.89,2961.26
152,111,27,1399,Human,37050515#2,-36293459#8,3934.68,2984.74,3965.27,3464.79
154,113,2,272,Human,-1119245070,-156460683#5,3987.71,2888.77,3501.02,3995.22
155,78,95,955,Human,332885734#2,319058612#1,4589.02,3230.73,3945.85,2862.2250000000004
159,115,57,456,Human,-36288941#1,-650145324#1,3920.23,2754.04,3827.79,2130.02
160,116,99,79,Human,37050515#1,-36950439#1,3960.81,2978.22,4474.44,2982.54
161,117,2,1152,Human,-36293459#0,-156460683#5,3699.05,3580.57,3501.02,3995.22
163,118,101,677,Human,-36294383#9,153730936#3,4556.44,3888.2,3909.75,2386.72
164,119,102,1749,Human,-1119245061,36936407#0,4210.82,3379.03,3891.48,2875.87
166,121,104,98,Human,-476687231#1,918716574#0,4029.1,3657.47,3773.79,2917.64
169,58,2,101,Human,-153730010#2,-156460683#5,4532.39,2399.14,3501.02,3995.22
170,124,47,1775,Human,36934854#1,-328471845#0,3772.48,2810.38,4593.32,2654.54
171,125,105,904,Human,-153730934,-156480737#2,4070.29,2570.07,3903.65,3084.79
172,126,49,1630,Human,-36288941#0,319058608#0,3930.36,2798.02,4324.42,2615.53
173,127,106,1015,Human,-710478296,-36293752#1,2365.52,2771.98,3898.63,3514.81
177,12,108,544,Human,-36294081#1,-650145330#0,4177.48,3912.82,3732.31,1948.22
179,130,110,34,Human,-394446871#1,36936590#6,4411.05,2399.53,3656.16,1766.12
185,133,65,551,Human,37050033#0,157553231,3993.62,2897.49,4192.97,2738.59
193,6,0,1652,Human,-859784039#0,-243836884#5,4354.56,3187.94,3452.5,1409.57
195,97,74,1084,Human,-37052277#2,37050033#1,4031.66,3211.36,4141.15,2942.78
197,140,95,76,Human,36936396#0,319058612#1,4034.9,2805.24,3945.85,2862.2250000000004
198,47,115,1638,Human,-153730020#0,-153730016#0,4070.25,1891.39,4462.69,2191.67
199,141,47,1603,Human,918716574#1,-328471845#0,3763.13,2921.21,4593.32,2654.54
202,7,30,378,Human,36936590#6,165170685#1,3624.39,1709.24,3650.16,1196.12
203,143,116,1578,Human,-153730011,36936396#3,4283.63,2122.53,4132.03,2750.69
205,23,63,697,Human,269702544,-36289599#0,3722.7,2378.13,4268.62,2629.65
206,145,95,367,Human,270968324,319058612#1,3983.9,2439.01,3945.85,2862.2250000000004
208,146,118,1608,Human,-165172307#0,-36294383#5,3837.47,1456.67,4281.55,3486.0
209,147,119,1473,Human,319058602#1,1239117012#5,4356.15,3275.19,3665.9,1794.7
210,148,120,184,Human,-394456385#0,-36950506#1,3615.21,2304.51,4820.49,2706.93
212,94,31,100,Human,-156460683#5,610135147#1,3506.04,3889.74,4386.22,1330.98
214,151,48,1453,Human,-35801699#1,-36950506#2,3094.16,2735.95,4700.18,2679.41
215,98,45,424,Human,-157553230,36936373#1,4144.54,2503.79,3897.31,2538.38
216,98,4,789,Human,-157553230,-394443151#2,4144.54,2503.79,3249.2,1483.56
217,125,121,914,Human,-153730934,-36288941#0,4070.29,2570.07,3944.06,2849.73
220,153,77,904,Human,156467000#3,327343097#1,3060.11,3034.91,2908.89,2512.78
221,64,123,214,Human,-36950506#2,-36933126#1,4646.92,2666.76,3698.61,2168.79
226,55,126,489,Human,-36950439#1,-610220874#1,4493.3,2985.34,3471.58,2031.06
227,156,127,262,Human,36284386#0,-1339510610,3548.57,2494.72,4397.92,2616.99
229,143,63,1435,Human,-153730011,-36289599#0,4283.63,2122.53,4268.62,2629.65
230,158,129,518,Human,-36288941#2,-319779150#1,3902.8,2683.13,3947.23,1986.25
232,84,126,473,Human,48955997,-610220874#1,4182.54,2774.98,3471.58,2031.06
235,161,131,810,Human,-37640679#2,-153730022#0,2684.34,2654.11,4619.76,2107.77
236,162,31,319,Human,-37053056#5,610135147#1,3434.77,3215.92,4386.22,1330.98
237,26,125,1789,Human,319058608#0,-36933151#0,4389.91,2616.46,3484.69,2216.71
238,26,132,491,Human,319058608#0,-698024153,4389.91,2616.46,3661.06,1265.1
240,39,47,387,Human,-35801597#3,-328471845#0,3072.22,2602.05,4593.32,2654.54
246,167,12,1351,Human,36935235#0,36936373#3,4067.04,2602.88,3899.86,2469.32
247,168,57,1517,Human,-153730938,-650145324#1,3978.73,2500.47,3827.79,2130.02
248,169,136,1137,Human,-394456385#1,-269702560,3537.42,2334.41,3941.58,2657.94
249,170,137,1797,Human,-269702560,-394456385#1,3943.58,2662.14,3607.64,2310.09
255,93,57,1673,Human,39820659#0,-650145324#1,4313.94,2424.12,3827.79,2130.02
256,42,122,159,Human,-36294081#3,36936590#5,4173.95,3956.32,3619.86,1700.55
257,173,140,385,Human,650145330#2,-37088673#0,3745.38,1953.6,4327.69,2357.22
261,8,143,101,Human,1119245067,36936423#4,4203.72,2952.09,3450.17,3047.08
265,134,57,1143,Human,-153730017,-650145324#1,4215.46,2041.61,3827.79,2130.02
