travel_time,id,kind,action,origin,destination,start_time,observation,reward,cost_table
2.816666666666667,138,AV,1,68,70,1619,"2.709254264831543,1.9022151231765747,2.6173317432403564,1.9941377639770508,3.1735472679138184,2.526090383529663,3.5806264877319336,2.7757070064544678,68.0,70.0,1619.0",-2.816666666666667,"0,0,0,0,0,0,0,0"
3.3333333333333335,15,AV,6,15,5,852,"1.5343966484069824,1.6485315561294556,2.0980842113494873,1.5761173963546753,1.8297948837280273,1.6927720308303833,1.7497074604034424,1.7458797693252563,15.0,5.0,852.0",-3.3333333333333335,"0,0,0,0,0,0,0,0"
3.35,193,AV,0,21,39,1708,"2.1943929195404053,2.2395310401916504,2.3851993083953857,2.534389019012451,4.3618669509887695,2.535280227661133,4.878844738006592,8.006857872009277,21.0,39.0,1708.0",-3.35,"0,0,0,0,0,0,0,0"
6.666666666666667,81,AV,3,66,45,486,"3.8599207401275635,3.8684799671173096,5.499148368835449,4.715764045715332,4.312545299530029,4.682570457458496,3.8266544342041016,6.045607089996338,66.0,45.0,486.0",-6.666666666666667,"0,0,0,0,0,0,0,0"
3.1333333333333333,14,AV,1,14,5,1526,"1.6286214590072632,2.0254056453704834,1.8027111291885376,2.0139756202697754,1.7679423093795776,1.7753201723098755,2.164726495742798,2.15329647064209,14.0,5.0,1526.0",-3.1333333333333333,"0,0,0,0,0,0,0,0"
8.2,12,AV,2,12,12,1197,"2.5002126693725586,2.7499706745147705,6.477291107177734,3.6479899883270264,3.1897685527801514,2.614347457885742,3.1467549800872803,3.0664093494415283,12.0,12.0,1197.0",-8.2,"0,0,0,0,0,0,0,0"
3.466666666666667,154,AV,1,28,3,1616,"2.2760403156280518,2.5852556228637695,3.7233405113220215,2.568840742111206,3.0640652179718018,2.3245162963867188,3.21100115776062,2.9759202003479004,28.0,3.0,1616.0",-3.466666666666667,"0,0,0,0,0,0,0,0"
3.3,126,AV,4,93,66,1485,"2.7899200916290283,2.2935125827789307,3.0134406089782715,3.509848117828369,2.4102792739868164,2.9802472591400146,3.336378574371338,2.615541458129883,93.0,66.0,1485.0",-3.3,"0,0,0,0,0,0,0,0"
0.9333333333333333,133,AV,0,13,25,640,"0.4657096266746521,0.5376183986663818,0.47401297092437744,0.7821483016014099,0.5763887763023376,0.8448893427848816,0.8928274512290955,0.8987069725990295,13.0,25.0,640.0",-0.9333333333333333,"0,0,0,0,0,0,0,0"
3.533333333333333,142,AV,2,36,74,1338,"0.456025630235672,4.079207420349121,2.7494146823883057,3.087763786315918,2.721229076385498,2.8855557441711426,2.9996907711029053,2.960897922515869,36.0,74.0,1338.0",-3.533333333333333,"0,0,0,0,0,0,0,0"
3.9833333333333334,43,AV,1,24,12,807,"3.232203483581543,2.982445478439331,3.3572070598602295,3.54864239692688,3.5929880142211914,4.601257801055908,3.454272508621216,3.672001361846924,24.0,12.0,807.0",-3.9833333333333334,"0,0,0,0,0,0,0,0"
3.2,17,AV,2,17,15,1745,"2.925363063812256,3.61209774017334,2.1419785022735596,2.892169952392578,3.053494453430176,2.1087851524353027,3.966168165206909,2.2796554565429688,17.0,15.0,1745.0",-3.2,"0,0,0,0,0,0,0,0"
1.4,139,AV,3,41,71,1711,"0.528166651725769,0.7999328970909119,1.9754668474197388,1.214901328086853,1.0674755573272705,2.6622016429901123,0.8862874507904053,1.3216240406036377,41.0,71.0,1711.0",-1.4,"0,0,0,0,0,0,0,0"
6.416666666666667,24,AV,7,24,20,1283,"5.137071132659912,5.103877544403076,5.372344970703125,5.283627510070801,5.447755336761475,5.283769607543945,5.145834445953369,5.253837585449219,24.0,20.0,1283.0",-6.416666666666667,"0,0,0,0,0,0,0,0"
2.066666666666667,53,AV,6,18,9,13,"1.3126651048660278,1.4216086864471436,1.3835793733596802,1.4593636989593506,1.490898847579956,2.4765305519104004,1.3214285373687744,1.9434974193572998,18.0,9.0,13.0",-2.066666666666667,"0,0,0,0,0,0,0,0"
4.75,21,AV,6,21,15,1026,"2.8455076217651367,2.706737995147705,3.252650499343872,3.214895248413086,3.0476253032684326,4.925599575042725,2.75187611579895,4.0563273429870605,21.0,15.0,1026.0",-4.75,"0,0,0,0,0,0,0,0"
7.2,167,AV,6,64,84,1329,"5.481687545776367,4.809281349182129,4.231382369995117,4.2348151206970215,5.343714237213135,4.0564117431640625,4.728818416595459,5.340281963348389,64.0,84.0,1329.0",-7.2,"0,0,0,0,0,0,0,0"
5.233333333333333,22,AV,4,22,19,1539,"4.309029579162598,4.27583646774292,4.455728530883789,4.995764255523682,4.544303894042969,5.110421657562256,4.455108165740967,4.395384311676025,22.0,19.0,1539.0",-5.233333333333333,"0,0,0,0,0,0,0,0"
5.05,189,AV,5,128,40,1295,"4.580104351043701,4.649449348449707,3.890778064727783,4.921215534210205,4.7824625968933105,3.8214328289031982,4.808469772338867,4.853649139404297,128.0,40.0,1295.0",-5.05,"0,0,0,0,0,0,0,0"
4.033333333333333,69,AV,2,56,34,124,"2.261075019836426,2.2616353034973145,2.730562925338745,2.4963490962982178,2.8075337409973145,2.398751974105835,2.3778417110443115,3.3583359718322754,56.0,34.0,124.0",-4.033333333333333,"0,0,0,0,0,0,0,0"
3.65,114,AV,4,89,58,791,"3.1562345027923584,2.1312484741210938,2.1756839752197266,19.708091735839844,2.638831377029419,2.6892917156219482,3.770280122756958,4.074501991271973,89.0,58.0,791.0",-3.65,"0,0,0,0,0,0,0,0"
