travel_time,id,kind,action,origin,destination,start_time,observation,reward,cost_table
6.683333333333334,487,AV,2,0,5,898,"3.427492618560791,2.935654878616333,3.7956724166870117,3.3038346767425537,3.8142025470733643,3.3223648071289062,2.8766889572143555,3.1084866523742676,0.0,5.0,898.0",-6.683333333333334,"0,0,0,0,0,0,0,0"
4.916666666666667,664,AV,0,4,12,1220,"2.5828301906585693,2.5608413219451904,4.016666889190674,2.5549190044403076,2.7733066082000732,2.7513177394866943,3.0392627716064453,3.061251640319824,4.0,12.0,1220.0",-4.916666666666667,"0,0,0,0,0,0,0,0"
2.2666666666666666,32,AV,0,0,12,80,"0.6014363765716553,0.5424703359603882,1.7563278675079346,1.7134044170379639,1.7353931665420532,1.6544383764266968,1.7074819803237915,1.6764271259307861,0.0,12.0,80.0",-2.2666666666666666,"0,0,0,0,0,0,0,0"
3.933333333333333,357,AV,2,0,3,680,"2.6739308834075928,3.5876805782318115,2.277780055999756,4.2166666984558105,1.9500000476837158,2.3341469764709473,4.433333396911621,2.1968252658843994,0.0,3.0,680.0",-3.933333333333333,"0,0,0,0,0,0,0,0"
5.016666666666667,546,AV,1,11,5,1002,"4.9381632804870605,4.949999809265137,3.2544803619384766,3.145392417907715,3.043525218963623,3.235950469970703,3.166396141052246,4.227114200592041,11.0,5.0,1002.0",-5.016666666666667,"0,0,0,0,0,0,0,0"
5.35,108,AV,6,4,20,213,"2.168386459350586,3.089463949203491,2.8869102001190186,3.1007883548736572,3.0257201194763184,2.937635898590088,2.811842203140259,2.9401025772094727,4.0,20.0,213.0",-5.35,"0,0,0,0,0,0,0,0"
4.983333333333333,261,AV,1,11,2,453,"4.862582683563232,2.8542115688323975,3.2409214973449707,3.131833553314209,3.029966354370117,3.222391366958618,3.1528372764587402,4.213555335998535,11.0,2.0,453.0",-4.983333333333333,"0,0,0,0,0,0,0,0"
4.466666666666667,869,AV,7,17,5,1501,"4.917087078094482,4.900000095367432,5.2833333015441895,4.9666666984558105,4.87852144241333,5.366666793823242,5.908715724945068,5.5,17.0,5.0,1501.0",-4.466666666666667,"0,0,0,0,0,0,0,0"
5.65,234,AV,5,4,20,402,"2.168386459350586,3.089463949203491,2.8869102001190186,3.1007883548736572,3.0257201194763184,2.937635898590088,2.811842203140259,2.9401025772094727,4.0,20.0,402.0",-5.65,"0,0,0,0,0,0,0,0"
4.633333333333334,132,AV,4,11,3,248,"3.002840757369995,2.1529037952423096,3.085305690765381,2.7963595390319824,2.7889626026153564,3.010237455368042,2.9147565364837646,2.7918853759765625,11.0,3.0,248.0",-4.633333333333334,"0,0,0,0,0,0,0,0"
5.75,985,AV,3,16,10,1684,"5.75,3.574273109436035,4.239421367645264,5.5333333015441895,5.7166666984558105,6.066666603088379,5.583333492279053,8.383333206176758,16.0,10.0,1684.0",-5.75,"0,0,0,0,0,0,0,0"
5.516666666666667,928,AV,0,16,9,1596,"5.4666666984558105,2.592902660369873,3.1907382011413574,5.833333492279053,4.350527286529541,4.366666793823242,2.616010904312134,2.6943435668945312,16.0,9.0,1596.0",-5.516666666666667,"0,0,0,0,0,0,0,0"
4.1,805,AV,0,7,9,1419,"2.849022626876831,4.190237045288086,1.9950743913650513,2.266303300857544,4.683333396911621,3.7821640968322754,3.990234613418579,4.316666603088379,7.0,9.0,1419.0",-4.1,"0,0,0,0,0,0,0,0"
4.383333333333334,376,AV,1,7,9,707,"1.782577395439148,2.4788002967834473,1.9950743913650513,2.266303300857544,2.501039981842041,4.758220195770264,4.254282474517822,4.316666603088379,7.0,9.0,707.0",-4.383333333333334,"0,0,0,0,0,0,0,0"
6.266666666666667,533,AV,5,0,2,974,"6.683333396911621,4.654845237731934,3.782113552093506,6.4666666984558105,3.8006434440612793,3.3088059425354004,6.099999904632568,3.0949277877807617,0.0,2.0,974.0",-6.266666666666667,"0,0,0,0,0,0,0,0"
7.416666666666667,617,AV,6,4,85,1126,"1.198240041732788,1.4865714311599731,2.601776123046875,1.5909878015518188,1.434980034828186,2.956416606903076,4.730037689208984,5.033148765563965,4.0,85.0,1126.0",-7.416666666666667,"0,0,0,0,0,0,0,0"
3.7666666666666666,113,AV,4,7,4,225,"1.8648862838745117,1.9856326580047607,1.6780823469161987,1.7988287210464478,2.014101505279541,2.632723569869995,2.827070474624634,2.1869516372680664,7.0,4.0,225.0",-3.7666666666666666,"0,0,0,0,0,0,0,0"
4.983333333333333,470,AV,1,1,1,876,"4.549844264984131,4.4201178550720215,5.366666793823242,3.816666603088379,4.502425670623779,4.550805568695068,5.316666603088379,5.183333396911621,1.0,1.0,876.0",-4.983333333333333,"0,0,0,0,0,0,0,0"
3.216666666666667,525,AV,2,1,75,959,"1.9408669471740723,1.639056921005249,1.930235743522644,1.6359611749649048,1.9534538984298706,1.6591792106628418,1.6465922594070435,1.9439626932144165,1.0,75.0,959.0",-3.216666666666667,"0,0,0,0,0,0,0,0"
3.6333333333333333,230,AV,1,4,4,398,"0.7569475173950195,1.2353689670562744,2.700000047683716,4.199999809265137,1.1864466667175293,1.9201223850250244,1.4589754343032837,1.8811187744140625,4.0,4.0,398.0",-3.6333333333333333,"0,0,0,0,0,0,0,0"
6.016666666666667,988,AV,6,124,10,1690,"0.9826170802116394,0.8166905045509338,1.4151990413665771,1.405280351638794,4.683766841888428,2.9101457595825195,2.40273380279541,2.452397584915161,124.0,10.0,1690.0",-6.016666666666667,"0,0,0,0,0,0,0,0"
6.4,644,AV,4,11,2,1175,"4.862582683563232,4.983333110809326,3.2409214973449707,3.131833553314209,3.029966354370117,3.222391366958618,5.5333333015441895,4.213555335998535,11.0,2.0,1175.0",-6.4,"0,0,0,0,0,0,0,0"
5.583333333333333,45,AV,0,11,3,94,"3.002840757369995,2.1529037952423096,3.085305690765381,2.7963595390319824,2.7889626026153564,3.010237455368042,2.9147565364837646,2.7918853759765625,11.0,3.0,94.0",-5.583333333333333,"0,0,0,0,0,0,0,0"
2.566666666666667,762,AV,1,8,2,1378,"0.34145668148994446,1.2176274061203003,2.804567575454712,1.7584710121154785,2.899319648742676,2.430213212966919,2.4363744258880615,1.8584895133972168,8.0,2.0,1378.0",-2.566666666666667,"0,0,0,0,0,0,0,0"
4.5,822,AV,4,11,20,1436,"3.2129805088043213,2.974470615386963,2.760592460632324,2.899402379989624,2.8113181591033936,2.6855244636535645,4.516666889190674,4.327793121337891,11.0,20.0,1436.0",-4.5,"0,0,0,0,0,0,0,0"
4.883333333333334,953,AV,5,118,10,1622,"1.526645541191101,1.9537255764007568,1.7072032690048218,1.9982311725616455,2.02809739112854,2.425311326980591,1.9592275619506836,2.8392601013183594,118.0,10.0,1622.0",-4.883333333333334,"0,0,0,0,0,0,0,0"
7.083333333333333,909,AV,7,4,3,1566,"6.7166666984558105,4.606077194213867,6.766666889190674,4.556415557861328,5.866666793823242,5.720216274261475,5.368865966796875,5.693623065948486,4.0,3.0,1566.0",-7.083333333333333,"0,0,0,0,0,0,0,0"
5.133333333333334,692,AV,0,0,2,1258,"6.4089555740356445,4.654845237731934,3.782113552093506,6.4666666984558105,3.8006434440612793,6.616666793823242,6.362569808959961,7.633333206176758,0.0,2.0,1258.0",-5.133333333333334,"0,0,0,0,0,0,0,0"
4.6,548,AV,7,83,1,1003,"2.09126877784729,2.1521689891815186,1.7065404653549194,2.305288791656494,2.2888691425323486,2.6754024028778076,2.614502191543579,2.5273618698120117,83.0,1.0,1003.0",-4.6,"0,0,0,0,0,0,0,0"
6.1,316,AV,6,0,2,565,"3.413933753967285,5.183333396911621,3.782113552093506,3.290275812149048,3.8006434440612793,3.3088059425354004,2.8631300926208496,3.0949277877807617,0.0,2.0,565.0",-6.1,"0,0,0,0,0,0,0,0"
