start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
5,0,0,Human,315358244,-25149001#4,212975.4675,453432.9725,212672.595,451274.97,9
5,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,17
11,2,2,Human,24608844,32978638#0,213600.045,452309.8,213633.66,451984.92,17
11,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
11,3,3,Human,315358250#0,386687235,213010.6175,453383.065,213478.36,452435.42,9
12,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
13,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,1
15,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
17,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
25,5,2,Human,201201950#1,32978638#0,212938.88,452449.41,213633.66,451984.92,7
26,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
28,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
30,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
31,6,5,Human,201201953#4,-266565295#5,212565.76,452330.09,213811.85,452244.51,7
33,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,17
37,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
39,7,6,Human,272042143,24634414#1,213484.675,452457.545,213210.56,452282.365,17
55,8,7,Human,266565295#5,-24634415,213807.23,452252.93,213265.68,452105.8000000001,17
56,9,8,Human,22716069#0,24634517#13,212648.485,451697.03,212403.965,451889.175,13
57,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,17
57,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
58,10,5,Human,24634507,-266565295#5,212909.515,451808.915,213811.85,452244.51,7
60,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,14
61,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,17
69,12,10,Human,315358242#0,306240162#0,213272.11,452897.16,211642.94,452890.83,17
72,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
72,13,11,Human,-447569998#1,-26677539,213434.54,453008.69,213132.695,453002.015,9
73,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
75,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
77,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,7
77,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
79,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
80,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,9
81,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
82,13,4,Human,-447569998#1,399835085#1,213434.54,453008.69,212001.44,453157.175,17
82,14,3,Human,-54169231#2,386687235,212973.835,452759.09,213478.36,452435.42,9
82,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
82,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,6
83,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
86,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
88,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
89,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
91,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
92,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,7
93,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
94,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
96,11,13,Human,128361109#1,40888354#0,211442.47,452097.55,213168.415,452820.44,15
101,15,1,Human,-10427692#1,-128361102#1,211769.91,451851.51,211388.46,451952.25,14
101,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,1
105,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
106,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,17
109,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
112,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,9
119,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,7
125,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,17
127,18,2,Human,201950247#3,32978638#0,213070.49,452706.715,213633.66,451984.92,6
128,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,17
129,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,17
131,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,17
132,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,17
133,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
134,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,17
135,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,17
136,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,17
136,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,17
139,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,17
140,19,12,Human,-26677542#0,447569997#1,212861.46,453069.875,213435.6,452999.15,9
141,20,3,Human,26677213#0,386687235,212783.0,452608.015,213478.36,452435.42,15
141,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,17
142,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,17
149,13,14,Human,-447569998#1,315358242#0,213434.54,453008.69,213322.49,452739.76,9
149,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,17
150,8,15,Human,266565295#5,-24634506#2,213807.23,452252.93,212923.875,452069.915,17
152,4,16,Human,-306240162#1,30482615#1,211638.505,452888.985,212028.14,450765.2,3
154,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
154,13,4,Human,-447569998#1,399835085#1,213434.54,453008.69,212001.44,453157.175,17
155,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
158,21,17,Human,24599188#0.94,-10427692#3,213342.76,451641.085,211783.375,451881.39,13
160,22,9,Human,176550249#3,201238729#3,212398.57,452249.84,211438.31,452110.43,18
160,4,18,Human,-306240162#1,24634510#6,211638.505,452888.985,212342.785,452084.485,3
164,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
166,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
167,23,2,Human,-24634413#2,32978638#0,213167.66,452053.11,213633.66,451984.92,17
169,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
171,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
172,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
176,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,14
178,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
179,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
181,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
181,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
181,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,6
183,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
186,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
188,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
189,24,19,Human,-160314345#5,-24634505,213480.015,452304.825,212865.605,452150.26,17
189,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
191,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
192,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
194,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,17
195,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
197,25,10,Human,24634517#1,306240162#0,212025.5,451709.68000000005,211642.94,452890.83,14
199,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
201,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
203,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,9
204,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
204,17,3,Human,-18809673#6,386687235,211318.32,451074.855,213478.36,452435.42,15
212,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
213,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
220,1,10,Human,10425609#0,306240162#0,213091.635,451303.575,211642.94,452890.83,17
221,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
221,26,3,Human,201238726#0.117,386687235,211898.18,452192.0825,213478.36,452435.42,15
223,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,17
225,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,17
226,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
226,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,17
228,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,17
229,17,3,Human,-18809673#6,386687235,211318.32,451074.855,213478.36,452435.42,15
230,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,17
231,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,17
233,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,17
233,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
234,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,17
235,0,21,Human,315358244,-201238724,212975.4675,453432.9725,212836.39,452204.11,9
236,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,17
238,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,17
238,8,21,Human,266565295#5,-201238724,213807.23,452252.93,212836.39,452204.11,17
240,27,2,Human,28319300#3,32978638#0,212238.04,452544.145,213633.66,451984.92,7
245,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,17
245,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
245,17,22,Human,-18809673#6,-83304175#2,211318.32,451074.855,213340.28,451635.835,7
246,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,17
248,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
248,16,9,Human,-32978638#0,201238729#3,213640.75,451987.935,211438.31,452110.43,17
249,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
258,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
260,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
261,28,9,Human,-399835085#0,201238729#3,212144.335,453005.3,211438.31,452110.43,1
262,0,23,Human,315358244,26677541,212975.4675,453432.9725,213017.6,453046.28,9
264,29,3,Human,-160314345#2,386687235,213207.6,452277.045,213478.36,452435.42,3
265,4,24,Human,-306240162#1,201238718#0,211638.505,452888.985,212879.05,452356.22,3
267,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
267,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
268,30,25,Human,168702040#1,-25145014#0,213570.04,452107.55,212666.33,451610.59,13
269,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
269,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
271,11,26,Human,128361109#1,24634509#1,211442.47,452097.55,212852.71,452044.03,15
272,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
280,4,16,Human,-306240162#1,30482615#1,211638.505,452888.985,212028.14,450765.2,3
281,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,17
283,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
285,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
286,16,12,Human,-32978638#0,447569997#1,213640.75,451987.935,213435.6,452999.15,17
288,16,27,Human,-32978638#0,-315358242#1,213640.75,451987.935,213331.87,452741.83,17
289,11,28,Human,128361109#1,-315358242#0,211442.47,452097.55,213281.13,452900.43,15
289,16,9,Human,-32978638#0,201238729#3,213640.75,451987.935,211438.31,452110.43,17
292,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,17
292,4,29,Human,-306240162#1,402600768#1,211638.505,452888.985,213484.76,452070.75,16
293,31,2,Human,24634416,32978638#0,213252.9,452163.915,213633.66,451984.92,17
293,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
295,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
296,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
298,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
299,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
301,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
305,16,30,Human,-32978638#0,28319300#3,213640.75,451987.935,212239.235,452458.24,17
305,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,7
306,32,9,Human,-24634509#7,201238729#3,212847.145,452042.39,211438.31,452110.43,18
307,33,9,Human,-137454133#5,201238729#3,212153.36,452323.795,211438.31,452110.43,18
308,4,31,Human,-306240162#1,-201963533#4,211638.505,452888.985,212028.91,451703.04,3
315,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
317,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
320,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
320,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
323,8,32,Human,266565295#5,24608845,213807.23,452252.93,212875.45,452147.735,0
323,4,33,Human,-306240162#1,-25190140#1,211638.505,452888.985,212561.26,451214.905,3
324,0,16,Human,315358244,30482615#1,212975.4675,453432.9725,212028.14,450765.2,9
324,4,34,Human,-306240162#1,137454133#2,211638.505,452888.985,212147.62,452322.965,1
326,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,0
329,34,10,Human,-315358257#0.26,306240162#0,212259.43,452900.09,211642.94,452890.83,1
329,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,0
330,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,0
331,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,0
332,17,3,Human,-18809673#6,386687235,211318.32,451074.855,213478.36,452435.42,15
335,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
335,16,12,Human,-32978638#0,447569997#1,213640.75,451987.935,213435.6,452999.15,0
335,21,35,Human,24599188#0.94,201201950#1,213342.76,451641.085,213032.07,452458.87,0
336,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
337,16,9,Human,-32978638#0,201238729#3,213640.75,451987.935,211438.31,452110.43,0
338,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,0
339,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
340,17,36,Human,-18809673#6,40888354#1,211318.32,451074.855,213173.475,452766.685,15
340,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
342,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,14
343,1,10,Human,10425609#0,306240162#0,213091.635,451303.575,211642.94,452890.83,0
346,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
347,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
347,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,6
348,13,37,Human,-447569998#1,40888356#0,213434.54,453008.69,212383.985,452326.845,9
351,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
351,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
353,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
354,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
355,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,6
356,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
357,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
359,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
362,4,38,Human,-306240162#1,138300620#0,211638.505,452888.985,212419.415,452110.7,3
366,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
368,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
370,35,3,Human,-26677216#0,386687235,212982.09,452766.76,213478.36,452435.42,9
374,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,15
375,36,20,Human,286646456#1,272042145,211979.335,452780.735,213478.39,452442.76,3
376,0,39,Human,315358244,-201238718#0,212975.4675,453432.9725,212979.68,452196.755,9
377,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,0
378,1,10,Human,10425609#0,306240162#0,213091.635,451303.575,211642.94,452890.83,0
379,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,7
380,11,40,Human,128361109#1,-22724699#1,211442.47,452097.55,212624.945,452617.335,7
381,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,0
382,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
382,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
383,37,41,Human,201201935#0,-32395288#1,211141.53,451674.18,211731.37,451271.77,7
383,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,0
384,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
386,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
387,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
389,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
390,38,10,Human,-24634414#1,306240162#0,213216.13,452283.985,211642.94,452890.83,0
395,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
396,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,0
398,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,1
399,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
399,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
400,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
402,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
403,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
411,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
412,4,5,Human,-306240162#1,-266565295#5,211638.505,452888.985,213811.85,452244.51,16
413,39,9,Human,23166741#2,201238729#3,213173.07,452474.34,211438.31,452110.43,0
413,40,20,Human,-24634510#5,272042145,212430.715,452101.96,213478.39,452442.76,9
414,41,2,Human,201238719#0,32978638#0,211899.24,452235.18,213633.66,451984.92,7
414,4,2,Human,-306240162#1,32978638#0,211638.505,452888.985,213633.66,451984.92,16
418,42,20,Human,24634513#0,272042145,212250.8,452064.83,213478.39,452442.76,9
419,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
423,4,10,Human,-306240162#1,306240162#0,211638.505,452888.985,211642.94,452890.83,1
423,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
424,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,0
427,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
429,43,20,Human,40888360#0,272042145,212744.5,452410.79,213478.39,452442.76,9
429,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
434,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,0
435,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
438,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
446,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
448,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
450,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,7
450,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
